case_id,text,ground_truth_team,acceptable_teams,category,risk_level,difficulty,expected_behavior,expected_no_answer,expected_human_review,expected_blocked,expected_sources,expected_key_information,expected_missing_information
E001,Ich brauche einen neuen Personalausweis.,buergerbuero,buergerbuero,standard,low,easy,draft,false,false,false,BB-01,Personalausweis; Antrag; Unterlagen oder Termin; Hinweis auf Entwurfscharakter,
E002,Wie kann ich meinen Wohnsitz ummelden?,buergerbuero,buergerbuero,standard,low,easy,draft,false,false,false,BB-03,Ummeldung; Wohnungsgeberbestätigung; Frist oder Termin,
E003,Ich möchte meinen Hund anmelden.,ordnungsamt,ordnungsamt|finanzen_steuern,standard,low,easy,draft,false,false,false,OA-03|FS-02,Hundeanmeldung; zuständige Stelle; ggf. Hundesteuerhinweis,
E004,Wo beantrage ich eine Geburtsurkunde?,standesamt,standesamt,standard,low,easy,draft,false,false,false,ST-01,Geburtsurkunde; Antrag; Identitätsnachweis oder berechtigtes Interesse,
E005,Benötige ich einen Termin für einen Reisepass?,buergerbuero,buergerbuero,standard,low,easy,draft,false,false,false,BB-02,Reisepass; Termin; Unterlagen; Bearbeitungszeit,
E006,Wie bekomme ich eine Meldebescheinigung?,buergerbuero,buergerbuero,standard,low,easy,draft,false,false,false,BB-04,Meldebescheinigung; Meldewesen; Beantragung oder Nachweis,
E007,Ich brauche eine Eheurkunde.,standesamt,standesamt,standard,low,easy,draft,false,false,false,ST-04,Eheurkunde; Urkunde; Standesamt; Beantragung,
E008,Wie lange dauert die Ausstellung eines Personalausweises?,buergerbuero,buergerbuero,standard,low,easy,draft,false,false,false,BB-01,Bearbeitungsdauer; Personalausweis; vorläufige Lösung falls Quelle vorhanden,
E009,Wo melde ich einen Falschparker vor meiner Einfahrt?,ordnungsamt,ordnungsamt,standard,low,easy,draft,false,false,false,OA-01,Falschparker; Standort; Kennzeichen; Zeitpunkt; Ordnungsamt,
E010,Wie beantrage ich eine Sterbeurkunde?,standesamt,standesamt,standard,low,easy,draft,false,false,false,ST-03,Sterbeurkunde; berechtigte Person; Unterlagen; Standesamt,
