relative_path,document_id,title,retrieval_category,fachbereich,bereich,team
youth_education/school_education/SB-01_Einschulung_und_Schulbezirk.md,SB-01,Einschulung und Schulbezirk,schule_bildung,"Fachbereich Jugend, Familie und Bildung (youth_education)",Schule und Bildung (school_education),Schulaufnahme und Schulwechsel (school_enrollment_transfer)
youth_education/school_education/SB-02_Schuelerbefoerderung.md,SB-02,Schülerbeförderung,schule_bildung,"Fachbereich Jugend, Familie und Bildung (youth_education)",Schule und Bildung (school_education),"Schülerbeförderung, Mensa und Ganztag (transport_meals_after_school)"
youth_education/school_education/SB-03_Mensa_und_Ganztagsbetreuung.md,SB-03,Mensa und Ganztagsbetreuung,schule_bildung,"Fachbereich Jugend, Familie und Bildung (youth_education)",Schule und Bildung (school_education),"Schülerbeförderung, Mensa und Ganztag (transport_meals_after_school)"
youth_education/school_education/SB-04_Schulwechsel_innerhalb_der_Kommune.md,SB-04,Schulwechsel innerhalb der Kommune,schule_bildung,"Fachbereich Jugend, Familie und Bildung (youth_education)",Schule und Bildung (school_education),Schulaufnahme und Schulwechsel (school_enrollment_transfer)
youth_education/school_education/SB-05_Schulgebaeude_Mangelmeldung.md,SB-05,Schulgebäude Mangelmeldung,schule_bildung,"Fachbereich Jugend, Familie und Bildung (youth_education)",Schule und Bildung (school_education),"Ausstattung, Lernmittel und Schulgebäude (facilities_equipment)"
youth_education/school_education/SB-06_Digitale_Endgeraete_und_Lernmittel.md,SB-06,Digitale Endgeräte und Lernmittel,schule_bildung,"Fachbereich Jugend, Familie und Bildung (youth_education)",Schule und Bildung (school_education),"Ausstattung, Lernmittel und Schulgebäude (facilities_equipment)"
youth_education/school_education/SB-07_Schulsozialarbeit_und_Beratung.md,SB-07,Schulsozialarbeit und Beratung,schule_bildung,"Fachbereich Jugend, Familie und Bildung (youth_education)",Schule und Bildung (school_education),Schulsozialarbeit und Raumnutzung (social_work_room_use)
youth_education/school_education/SB-08_Sporthalle_und_Schulraum_Nutzung.md,SB-08,Sporthalle und Schulraum Nutzung,schule_bildung,"Fachbereich Jugend, Familie und Bildung (youth_education)",Schule und Bildung (school_education),Schulsozialarbeit und Raumnutzung (social_work_room_use)
youth_education/school_education/SB-09_Beschwerde_Schulweg_oder_Schulumfeld.md,SB-09,Beschwerde Schulweg oder Schulumfeld,schule_bildung,"Fachbereich Jugend, Familie und Bildung (youth_education)",Schule und Bildung (school_education),Schulsozialarbeit und Raumnutzung (social_work_room_use)
youth_education/youth_family/JF-01_Kitaplatz_Vormerkung.md,JF-01,Kitaplatz Vormerkung,jugend_familie,"Fachbereich Jugend, Familie und Bildung (youth_education)",Jugend und Familie (youth_family),Kinderbetreuung und Tagespflege (childcare)
youth_education/youth_family/JF-02_Elternbeitraege_Kinderbetreuung.md,JF-02,Elternbeiträge Kinderbetreuung,jugend_familie,"Fachbereich Jugend, Familie und Bildung (youth_education)",Jugend und Familie (youth_family),Elternbeiträge und Familienleistungen (childcare_fees_benefits)
youth_education/youth_family/JF-03_Ferienbetreuung.md,JF-03,Ferienbetreuung,jugend_familie,"Fachbereich Jugend, Familie und Bildung (youth_education)",Jugend und Familie (youth_family),Kinderbetreuung und Tagespflege (childcare)
youth_education/youth_family/JF-04_Kindertagespflege.md,JF-04,Kindertagespflege,jugend_familie,"Fachbereich Jugend, Familie und Bildung (youth_education)",Jugend und Familie (youth_family),Kinderbetreuung und Tagespflege (childcare)
youth_education/youth_family/JF-05_Unterhaltsvorschuss_Erstkontakt.md,JF-05,Unterhaltsvorschuss Erstkontakt,jugend_familie,"Fachbereich Jugend, Familie und Bildung (youth_education)",Jugend und Familie (youth_family),Elternbeiträge und Familienleistungen (childcare_fees_benefits)
youth_education/youth_family/JF-06_Jugendfreizeit_und_Beteiligung.md,JF-06,Jugendfreizeit und Beteiligung,jugend_familie,"Fachbereich Jugend, Familie und Bildung (youth_education)",Jugend und Familie (youth_family),Familienberatung und Beteiligung (family_support_participation)
youth_education/youth_family/JF-07_Familienberatung_und_fruehe_Hilfen.md,JF-07,Familienberatung und frühe Hilfen,jugend_familie,"Fachbereich Jugend, Familie und Bildung (youth_education)",Jugend und Familie (youth_family),Familienberatung und Beteiligung (family_support_participation)
youth_education/youth_family/JF-08_Spielgruppen_und_Eltern_Kind_Angebote.md,JF-08,Spielgruppen und Eltern Kind Angebote,jugend_familie,"Fachbereich Jugend, Familie und Bildung (youth_education)",Jugend und Familie (youth_family),Familienberatung und Beteiligung (family_support_participation)
youth_education/youth_family/JF-09_Beschwerde_zu_Betreuungseinrichtung.md,JF-09,Beschwerde zu Betreuungseinrichtung,jugend_familie,"Fachbereich Jugend, Familie und Bildung (youth_education)",Jugend und Familie (youth_family),Beschwerden zu Betreuungseinrichtungen (childcare_complaints)
urban_development_building/building_control/BA-01_Bauantrag_und_Baugenehmigung.md,BA-01,Bauantrag und Baugenehmigung,bauamt,Fachbereich Stadtentwicklung und Bauordnung (urban_development_building),Bauordnung und Bauverwaltung (building_control),Bauvorhaben und Genehmigungen (building_permits)
urban_development_building/building_control/BA-02_Bauvoranfrage.md,BA-02,Bauvoranfrage,bauamt,Fachbereich Stadtentwicklung und Bauordnung (urban_development_building),Bauordnung und Bauverwaltung (building_control),Bauvorhaben und Genehmigungen (building_permits)
urban_development_building/building_control/BA-03_Garage_Carport_oder_Nebenanlage.md,BA-03,Garage Carport oder Nebenanlage,bauamt,Fachbereich Stadtentwicklung und Bauordnung (urban_development_building),Bauordnung und Bauverwaltung (building_control),Bauvorhaben und Genehmigungen (building_permits)
urban_development_building/building_control/BA-08_Denkmalschutz_bei_Bauvorhaben.md,BA-08,Denkmalschutz bei Bauvorhaben,bauamt,Fachbereich Stadtentwicklung und Bauordnung (urban_development_building),Bauordnung und Bauverwaltung (building_control),Denkmalschutz und Baulasten (heritage_land_charges)
