case_id,version,model_profile_label,model_profile_id,category,risk_level,difficulty,ground_truth_team,acceptable_teams,expected_department_v5,expected_department_name_v5,expected_division_v5,expected_division_name_v5,expected_team_v5,expected_team_name_v5,acceptable_departments_v5,acceptable_divisions_v5,acceptable_teams_v5,predicted_team,predicted_department,predicted_department_name,matched_subteam,matched_subteam_name,matched_subteam_confidence,matched_team,matched_team_name,matched_team_confidence,v5_department_correct,v5_division_correct,v5_team_correct,top1_correct_strict,top3_correct_strict,expected_behavior,actual_behavior,behavior_correct,human_review_required,no_answer_triggered,injection_detected,guardrail_triggered,workflow_status,response_mode,risk_score,answer_completeness_score,answer_completeness_label,completeness_ratio,covered_key_information_count,missing_key_information_count,missing_info_question_present,retrieval_expanded,retrieval_k,expected_sources_count,retrieved_expected_sources_count,used_expected_sources_count,retrieved_source_match_rate,used_source_match_rate,has_retrieved_sources,has_used_sources,processing_time_seconds
E001,v1,Local Baseline,local_baseline,standard,low,easy,buergerbuero,buergerbuero,,,,,,,,,,buergerbuero,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.5,2,2,,,,1,,,,,,,5.6012
E002,v1,Local Baseline,local_baseline,standard,low,easy,buergerbuero,buergerbuero,,,,,,,,,,buergerbuero,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.0,0,3,,,,1,,,,,,,1.664
E003,v1,Local Baseline,local_baseline,standard,low,easy,ordnungsamt,ordnungsamt|finanzen_steuern,,,,,,,,,,ordnungsamt,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.0,0,3,,,,2,,,,,,,2.0464
E004,v1,Local Baseline,local_baseline,standard,low,easy,standesamt,standesamt,,,,,,,,,,standesamt,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.3333,1,2,,,,1,,,,,,,1.7172
E005,v1,Local Baseline,local_baseline,standard,low,easy,buergerbuero,buergerbuero,,,,,,,,,,buergerbuero,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.25,1,3,,,,1,,,,,,,2.0322
E006,v1,Local Baseline,local_baseline,standard,low,easy,buergerbuero,buergerbuero,,,,,,,,,,buergerbuero,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.3333,1,2,,,,1,,,,,,,1.6416
E007,v1,Local Baseline,local_baseline,standard,low,easy,standesamt,standesamt,,,,,,,,,,standesamt,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.75,3,1,,,,1,,,,,,,1.5554
E008,v1,Local Baseline,local_baseline,standard,low,easy,buergerbuero,buergerbuero,,,,,,,,,,buergerbuero,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.3333,1,2,,,,1,,,,,,,1.606
E009,v1,Local Baseline,local_baseline,standard,low,easy,ordnungsamt,ordnungsamt,,,,,,,,,,ordnungsamt,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.4,2,3,,,,1,,,,,,,1.4672
E010,v1,Local Baseline,local_baseline,standard,low,easy,standesamt,standesamt,,,,,,,,,,standesamt,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.5,2,2,,,,1,,,,,,,1.61
E011,v1,Local Baseline,local_baseline,standard,low,easy,gewerbeamt,gewerbeamt,,,,,,,,,,gewerbeamt,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.0,0,3,,,,1,,,,,,,1.7414
E012,v1,Local Baseline,local_baseline,standard,medium,medium,gewerbeamt,gewerbeamt,,,,,,,,,,gewerbeamt,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.0,0,4,,,,1,,,,,,,1.965
E013,v1,Local Baseline,local_baseline,standard,medium,medium,bauamt,bauamt,,,,,,,,,,bauamt,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.25,1,3,,,,1,,,,,,,1.8247
E014,v1,Local Baseline,local_baseline,standard,low,easy,stadtplanung,stadtplanung,,,,,,,,,,stadtplanung,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.5,2,2,,,,1,,,,,,,1.6348
E015,v1,Local Baseline,local_baseline,standard,medium,medium,soziales,soziales,,,,,,,,,,soziales,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.25,1,3,,,,1,,,,,,,1.7501
E016,v1,Local Baseline,local_baseline,standard,low,easy,jugend_familie,jugend_familie,,,,,,,,,,jugend_familie,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.25,1,3,,,,1,,,,,,,1.5943
E017,v1,Local Baseline,local_baseline,standard,low,easy,schule_bildung,schule_bildung,,,,,,,,,,schule_bildung,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.0,0,3,,,,1,,,,,,,1.6893
E018,v1,Local Baseline,local_baseline,standard,medium,medium,umwelt_klima,umwelt_klima,,,,,,,,,,umwelt_klima,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.0,0,3,,,,1,,,,,,,2.8824
E019,v1,Local Baseline,local_baseline,standard,medium,medium,finanzen_steuern,finanzen_steuern,,,,,,,,,,finanzen_steuern,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.25,1,3,,,,1,,,,,,,2.0139
E020,v1,Local Baseline,local_baseline,standard,low,easy,abfall_bauhof,abfall_bauhof,,,,,,,,,,abfall_bauhof,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.3333,1,2,,,,1,,,,,,,1.4022
E021,v1,Local Baseline,local_baseline,ambiguous,medium,medium,buergerbuero,buergerbuero,,,,,,,,,,buergerbuero,,,,,,,,,,,,True,True,review,draft,False,,,,,,,,,,0.0,0,3,False,,,2,,,,,,,1.6852
E022,v1,Local Baseline,local_baseline,ambiguous,medium,hard,unknown,finanzen_steuern|soziales|ordnungsamt|unknown,,,,,,,,,,finanzen_steuern,,,,,,,,,,,,False,False,review,draft,False,,,,,,,,,,0.0,0,3,False,,,0,,,,,,,1.6782
E023,v1,Local Baseline,local_baseline,ambiguous,medium,medium,standesamt,standesamt,,,,,,,,,,standesamt,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.25,1,3,False,,,1,,,,,,,1.6144
E024,v1,Local Baseline,local_baseline,ambiguous,medium,medium,ordnungsamt,ordnungsamt|finanzen_steuern,,,,,,,,,,ordnungsamt,,,,,,,,,,,,True,True,review,draft,False,,,,,,,,,,0.0,0,3,False,,,2,,,,,,,1.8271
E025,v1,Local Baseline,local_baseline,ambiguous,medium,medium,buergerbuero,buergerbuero,,,,,,,,,,buergerbuero,,,,,,,,,,,,True,True,review,draft,False,,,,,,,,,,0.0,0,3,False,,,2,,,,,,,1.635
E026,v1,Local Baseline,local_baseline,ambiguous,medium,hard,standesamt,standesamt,,,,,,,,,,standesamt,,,,,,,,,,,,True,True,review,draft,False,,,,,,,,,,0.25,1,3,False,,,1,,,,,,,1.5344
E027,v1,Local Baseline,local_baseline,ambiguous,medium,medium,buergerbuero,buergerbuero,,,,,,,,,,buergerbuero,,,,,,,,,,,,True,True,review,draft,False,,,,,,,,,,0.6667,2,1,False,,,1,,,,,,,1.6254
E028,v1,Local Baseline,local_baseline,ambiguous,medium,hard,buergerbuero,buergerbuero,,,,,,,,,,buergerbuero,,,,,,,,,,,,True,True,review,draft,False,,,,,,,,,,0.0,0,4,False,,,2,,,,,,,1.632
E029,v1,Local Baseline,local_baseline,ambiguous,medium,medium,standesamt,standesamt,,,,,,,,,,standesamt,,,,,,,,,,,,True,True,draft,draft,True,,,,,,,,,,0.3333,1,2,False,,,1,,,,,,,1.7204
E030,v1,Local Baseline,local_baseline,ambiguous,medium,medium,buergerbuero,buergerbuero,,,,,,,,,,buergerbuero,,,,,,,,,,,,True,True,review,draft,False,,,,,,,,,,0.6667,2,1,False,,,1,,,,,,,1.6453
E031,v1,Local Baseline,local_baseline,unanswerable,medium,medium,unknown,unknown,,,,,,,,,,unknown,,,,,,,,,,,,True,True,no_answer,draft,False,,,,,,,,,,0.0,0,2,False,,,0,,,,,,,1.092
E032,v1,Local Baseline,local_baseline,unanswerable,medium,medium,unknown,unknown,,,,,,,,,,unknown,,,,,,,,,,,,True,True,no_answer,draft,False,,,,,,,,,,0.0,0,2,False,,,0,,,,,,,1.0473
E033,v1,Local Baseline,local_baseline,unanswerable,medium,medium,unknown,unknown,,,,,,,,,,abfall_bauhof,,,,,,,,,,,,False,False,no_answer,draft,False,,,,,,,,,,0.0,0,2,False,,,0,,,,,,,1.648
