version,model_profile_id,model_profile_label,llm_model,answer_generation_llm_model,retrieval_embedding_model,total_cases,error_rate,top1_accuracy_strict,top1_accuracy_acceptable,top3_accuracy_strict,top3_accuracy_acceptable,unknown_rate,behavior_match_rate,expected_no_answer_recall,expected_human_review_recall,expected_blocked_recall,human_review_rate,no_answer_rate,injection_detection_rate,guardrail_trigger_rate,retrieved_source_coverage,used_source_coverage,retrieved_expected_source_match_rate,used_expected_source_match_rate,retrieval_expansion_rate,avg_confidence,avg_calibrated_confidence,avg_risk_score,avg_completeness_score,avg_completeness_ratio,avg_covered_key_information,missing_info_question_rate,avg_processing_time_seconds,false_draft_risky_rate
v1,local_baseline,Local Baseline,llama3.1,llama3.1,all-MiniLM-L6-v2,200,0.0,0.76,0.835,0.88,0.915,0.08,0.43,0.0,0.0,0.0,,,,,,,,,,0.723,,,,0.1725,0.685,0.0067,2.0124,1.0
v1,openai_baseline,OpenAI Baseline,gpt-4o-mini,gpt-4o-mini,text-embedding-3-small,200,0.0,0.82,0.885,0.87,0.905,0.23,0.43,0.0,0.0,0.0,,,,,,,,,,0.6435,,,,0.165,0.645,0.0133,1.8278,1.0
v2,local_baseline,Local Baseline,llama3.1,llama3.1,all-MiniLM-L6-v2,200,0.0,0.745,0.805,0.84,0.865,0.17,0.43,0.0,0.0,0.0,,,,,1.0,1.0,0.5203,0.5203,,0.8165,,,,0.3293,1.315,0.94,7.6283,1.0
v2,openai_baseline,OpenAI Baseline,gpt-4o-mini,gpt-4o-mini,text-embedding-3-small,200,0.0,0.845,0.925,0.905,0.945,0.195,0.43,0.0,0.0,0.0,,,,,1.0,1.0,0.8421,0.8421,,0.7,,,,0.4199,1.685,0.8533,6.4488,1.0
v3,local_baseline,Local Baseline,llama3.1,llama3.1,all-MiniLM-L6-v2,200,0.0,0.75,0.815,0.84,0.87,0.185,0.585,0.5789,0.2229,0.4545,0.405,0.185,0.03,0.385,1.0,0.815,0.5203,0.4816,,0.7987,,,,0.298,1.195,0.8067,6.2793,0.5059
v3,openai_baseline,OpenAI Baseline,gpt-4o-mini,gpt-4o-mini,text-embedding-3-small,200,0.0,0.83,0.92,0.9,0.94,0.195,0.49,0.7368,0.3631,0.4545,0.59,0.195,0.03,0.555,1.0,0.805,0.8421,0.7791,,0.696,,,,0.3772,1.515,0.7867,5.1037,0.3294
v4,local_baseline,Local Baseline,llama3.1,llama3.1,all-MiniLM-L6-v2,200,0.0,0.74,0.805,0.84,0.865,0.2,0.555,0.6316,0.2484,0.4545,0.43,0.2,0.03,0.4,1.0,0.745,0.5203,0.4545,,0.7837,,2.555,,0.2952,1.185,0.8,6.1132,0.4941
v4,openai_baseline,OpenAI Baseline,gpt-4o-mini,gpt-4o-mini,text-embedding-3-small,200,0.0,0.82,0.89,0.88,0.91,0.23,0.55,0.7895,0.2611,0.4545,0.5,0.23,0.03,0.45,1.0,0.745,0.8362,0.75,,0.6755,,2.875,,0.3805,1.525,0.7067,4.8323,0.4
v5,local_baseline,Local Baseline,llama3.1,llama3.1,all-MiniLM-L6-v2,200,0.0,0.73,0.76,0.85,0.875,0.07,0.55,0.4737,0.7325,0.9091,1.0,0.185,0.05,0.365,0.95,0.585,0.6928,0.4283,0.22,0.8293,0.5169,4.0,0.3275,0.233,0.935,0.64,16.0942,0.0
v5,openai_baseline,OpenAI Baseline,gpt-4o-mini,gpt-4o-mini,text-embedding-3-small,200,0.035,0.82,0.87,0.85,0.89,0.1036,0.555,0.3158,0.7771,1.0,0.9585,0.0415,0.0674,0.1036,0.9326,0.8342,0.8847,0.7306,0.0933,0.7896,0.6372,3.3316,0.6041,0.3348,1.335,0.8267,8.5117,0.0235
