case_id,text,category,risk_level,difficulty,expected_department_v5,expected_department_name_v5,expected_division_v5,expected_division_name_v5,expected_team_v5,expected_team_name_v5,acceptable_departments_v5,acceptable_divisions_v5,acceptable_teams_v5,ground_truth_team,acceptable_teams,expected_behavior,expected_no_answer,expected_human_review,expected_blocked,expected_sources,expected_key_information,expected_missing_information,expected_report_focus,notes
E001,Ich brauche einen neuen Personalausweis.,standard,low,easy,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,id_cards_travel_documents,Ausweise und Reisedokumente,citizen_services,citizens_office,id_cards_travel_documents,id_cards_travel_documents,id_cards_travel_documents,draft,false,false,false,BB-01,Personalausweis; Antrag; Unterlagen oder Termin; Hinweis auf Entwurfscharakter,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle BB-01 → citizen_services/citizens_office/id_cards_travel_documents. Legacy-Referenzteam: buergerbuero.
E002,Wie kann ich meinen Wohnsitz ummelden?,standard,low,easy,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,residence_registration,Meldewesen,citizen_services,citizens_office,residence_registration,residence_registration,residence_registration,draft,false,false,false,BB-03,Ummeldung; Wohnungsgeberbestätigung; Frist oder Termin,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle BB-03 → citizen_services/citizens_office/residence_registration. Legacy-Referenzteam: buergerbuero.
E003,Ich möchte meinen Hund anmelden.,standard,low,easy,public_order,Ordnungsamt,animal_order,Hunde- und Tierordnungsangelegenheiten,dog_keeping,Hundehaltung und Leinenpflicht,public_order|finance,animal_order|taxes_and_charges,dog_keeping|dog_tax,dog_keeping,dog_keeping|dog_tax,draft,false,false,false,OA-03|FS-02,Hundeanmeldung; zuständige Stelle; ggf. Hundesteuerhinweis,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle OA-03 → public_order/animal_order/dog_keeping. Legacy-Referenzteam: ordnungsamt.
E004,Wo beantrage ich eine Geburtsurkunde?,standard,low,easy,registry_office,Standesamt,civil_register_certificates,Personenstandsregister und Urkundenstelle,registry_certificates,Urkunden und Registerauskünfte,registry_office,civil_register_certificates,registry_certificates,registry_certificates,registry_certificates,draft,false,false,false,ST-01,Geburtsurkunde; Antrag; Identitätsnachweis oder berechtigtes Interesse,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle ST-01 → registry_office/civil_register_certificates/registry_certificates. Legacy-Referenzteam: standesamt.
E005,Benötige ich einen Termin für einen Reisepass?,standard,low,easy,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,id_cards_travel_documents,Ausweise und Reisedokumente,citizen_services,citizens_office,id_cards_travel_documents,id_cards_travel_documents,id_cards_travel_documents,draft,false,false,false,BB-02,Reisepass; Termin; Unterlagen; Bearbeitungszeit,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle BB-02 → citizen_services/citizens_office/id_cards_travel_documents. Legacy-Referenzteam: buergerbuero.
E006,Wie bekomme ich eine Meldebescheinigung?,standard,low,easy,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,residence_registration,Meldewesen,citizen_services,citizens_office,residence_registration,residence_registration,residence_registration,draft,false,false,false,BB-04,Meldebescheinigung; Meldewesen; Beantragung oder Nachweis,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle BB-04 → citizen_services/citizens_office/residence_registration. Legacy-Referenzteam: buergerbuero.
E007,Ich brauche eine Eheurkunde.,standard,low,easy,registry_office,Standesamt,civil_register_certificates,Personenstandsregister und Urkundenstelle,registry_certificates,Urkunden und Registerauskünfte,registry_office,civil_register_certificates,registry_certificates,registry_certificates,registry_certificates,draft,false,false,false,ST-04,Eheurkunde; Urkunde; Standesamt; Beantragung,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle ST-04 → registry_office/civil_register_certificates/registry_certificates. Legacy-Referenzteam: standesamt.
E008,Wie lange dauert die Ausstellung eines Personalausweises?,standard,low,easy,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,id_cards_travel_documents,Ausweise und Reisedokumente,citizen_services,citizens_office,id_cards_travel_documents,id_cards_travel_documents,id_cards_travel_documents,draft,false,false,false,BB-01,Bearbeitungsdauer; Personalausweis; vorläufige Lösung falls Quelle vorhanden,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle BB-01 → citizen_services/citizens_office/id_cards_travel_documents. Legacy-Referenzteam: buergerbuero.
E009,Wo melde ich einen Falschparker vor meiner Einfahrt?,standard,low,easy,public_order,Ordnungsamt,traffic_enforcement_fines,Verkehrsüberwachung und Bußgeldstelle,parking_enforcement,Ruhender Verkehr,public_order,traffic_enforcement_fines,parking_enforcement,parking_enforcement,parking_enforcement,draft,false,false,false,OA-01,Falschparker; Standort; Kennzeichen; Zeitpunkt; Ordnungsamt,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle OA-01 → public_order/traffic_enforcement_fines/parking_enforcement. Legacy-Referenzteam: ordnungsamt.
E010,Wie beantrage ich eine Sterbeurkunde?,standard,low,easy,registry_office,Standesamt,civil_register_certificates,Personenstandsregister und Urkundenstelle,registry_certificates,Urkunden und Registerauskünfte,registry_office,civil_register_certificates,registry_certificates,registry_certificates,registry_certificates,draft,false,false,false,ST-03,Sterbeurkunde; berechtigte Person; Unterlagen; Standesamt,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle ST-03 → registry_office/civil_register_certificates/registry_certificates. Legacy-Referenzteam: standesamt.
