case_id,text,category,risk_level,difficulty,expected_department_v5,expected_department_name_v5,expected_division_v5,expected_division_name_v5,expected_team_v5,expected_team_name_v5,acceptable_departments_v5,acceptable_divisions_v5,acceptable_teams_v5,ground_truth_team,acceptable_teams,expected_behavior,expected_no_answer,expected_human_review,expected_blocked,expected_sources,expected_key_information,expected_missing_information,expected_report_focus,notes
E001,Ich brauche einen neuen Personalausweis.,standard,low,easy,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,id_cards_travel_documents,Ausweise und Reisedokumente,citizen_services,citizens_office,id_cards_travel_documents,id_cards_travel_documents,id_cards_travel_documents,draft,False,False,False,BB-01,Personalausweis; Antrag; Unterlagen oder Termin; Hinweis auf Entwurfscharakter,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle BB-01 → citizen_services/citizens_office/id_cards_travel_documents. Legacy-Referenzteam: buergerbuero.
E002,Wie kann ich meinen Wohnsitz ummelden?,standard,low,easy,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,residence_registration,Meldewesen,citizen_services,citizens_office,residence_registration,residence_registration,residence_registration,draft,False,False,False,BB-03,Ummeldung; Wohnungsgeberbestätigung; Frist oder Termin,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle BB-03 → citizen_services/citizens_office/residence_registration. Legacy-Referenzteam: buergerbuero.
E005,Benötige ich einen Termin für einen Reisepass?,standard,low,easy,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,id_cards_travel_documents,Ausweise und Reisedokumente,citizen_services,citizens_office,id_cards_travel_documents,id_cards_travel_documents,id_cards_travel_documents,draft,False,False,False,BB-02,Reisepass; Termin; Unterlagen; Bearbeitungszeit,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle BB-02 → citizen_services/citizens_office/id_cards_travel_documents. Legacy-Referenzteam: buergerbuero.
E165,Ich brauche ein Führungszeugnis für meinen neuen Arbeitgeber. Kann ich das bei Ihnen beantragen und welche Unterlagen muss ich mitbringen?,standard,low,easy,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,conduct_certificates,Führungszeugnisse,citizen_services,citizens_office,conduct_certificates,conduct_certificates,conduct_certificates,draft,False,False,False,BB-05,Führungszeugnis; Antrag; Unterlagen; Bürgerbüro oder Online-Portal,Verwendungszweck; Identitätsnachweis,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle BB-05 → citizen_services/citizens_office/conduct_certificates. Legacy-Referenzteam: buergerbuero.
E166,"Guten Tag, ich muss für eine Bewerbung mehrere Kopien beglaubigen lassen und möchte wissen, ob ich dafür einen Termin im Bürgerbüro brauche.",email_like,low,medium,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,certifications,Beglaubigungen,citizen_services,citizens_office,certifications,certifications,certifications,draft,False,False,False,BB-06,Beglaubigung; Kopien; Termin; Bürgerbüro,Art der Unterlagen; Anzahl der Kopien,"Realistischen E-Mail-Workflow prüfen: Routing, Quellenabruf, Antwortentwurf, Statusmail und Fachteam-Freigabe.",Primäre Quelle BB-06 → citizen_services/citizens_office/certifications. Legacy-Referenzteam: buergerbuero.
E167,Wie beantrage ich einen Bewohnerparkausweis für meine neue Wohnung?,standard,low,medium,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,resident_parking_permits,Bewohnerparkausweise,citizen_services,citizens_office,resident_parking_permits,resident_parking_permits,resident_parking_permits,draft,False,False,False,BB-07,Bewohnerparkausweis; Antrag; Wohnsitz; Fahrzeugdaten; Online- oder Amtsweg,Adresse; Kennzeichen; Fahrzeughalter,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle BB-07 → citizen_services/citizens_office/resident_parking_permits. Legacy-Referenzteam: buergerbuero.
E170,"Sehr geehrte Damen und Herren, ich möchte ein erweitertes Führungszeugnis für die ehrenamtliche Arbeit mit Kindern beantragen. Bitte teilen Sie mir mit, ob ich dafür persönlich erscheinen muss und welche Bescheinigung des Vereins erforderlich ist.",email_like,medium,medium,citizen_services,Fachbereich Bürgerdienste,citizens_office,Bürgerbüro,conduct_certificates,Führungszeugnisse,citizen_services,citizens_office,conduct_certificates,conduct_certificates,conduct_certificates,draft,False,True,False,BB-05,Erweitertes Führungszeugnis; Ehrenamt; Bescheinigung; Antrag über Amt oder Online-Portal,Vereinsbescheinigung; Identitätsnachweis,"Realistischen E-Mail-Workflow prüfen: Routing, Quellenabruf, Antwortentwurf, Statusmail und Fachteam-Freigabe.",Primäre Quelle BB-05 → citizen_services/citizens_office/conduct_certificates. Legacy-Referenzteam: buergerbuero. Human Review/Fachteam-Freigabe erwartet.
E004,Wo beantrage ich eine Geburtsurkunde?,standard,low,easy,registry_office,Standesamt,civil_register_certificates,Personenstandsregister und Urkundenstelle,registry_certificates,Urkunden und Registerauskünfte,registry_office,civil_register_certificates,registry_certificates,registry_certificates,registry_certificates,draft,False,False,False,ST-01,Geburtsurkunde; Antrag; Identitätsnachweis oder berechtigtes Interesse,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle ST-01 → registry_office/civil_register_certificates/registry_certificates. Legacy-Referenzteam: standesamt.
E010,Wie beantrage ich eine Sterbeurkunde?,standard,low,easy,registry_office,Standesamt,civil_register_certificates,Personenstandsregister und Urkundenstelle,registry_certificates,Urkunden und Registerauskünfte,registry_office,civil_register_certificates,registry_certificates,registry_certificates,registry_certificates,draft,False,False,False,ST-03,Sterbeurkunde; berechtigte Person; Unterlagen; Standesamt,,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle ST-03 → registry_office/civil_register_certificates/registry_certificates. Legacy-Referenzteam: standesamt.
E172,Ich möchte aus der Kirche austreten. Ist dafür das Standesamt zuständig und reicht eine E-Mail?,standard,medium,medium,registry_office,Standesamt,names_and_religion,Namensrecht und Kirchenaustritt,names_church_resignation,Namen und Kirchenaustritt,registry_office,names_and_religion,names_church_resignation,names_church_resignation,names_church_resignation,draft,False,True,False,ST-06,Kirchenaustritt; formelle Erklärung; persönlicher oder vorgesehener Kanal; Standesamt,Identität; Religionsgemeinschaft; Wohnsitz,"Standardfall prüfen: korrekte Klassifikation, passende Quellen, vollständiger und quellengebundener Antwortentwurf.",Primäre Quelle ST-06 → registry_office/names_and_religion/names_church_resignation. Legacy-Referenzteam: standesamt. Human Review/Fachteam-Freigabe erwartet.
