document_id,title,team_id,team_name,pdf,markdown,topics
BB-01,Reisepass beantragen,buergerbuero,Bürgerbüro,pdf/BB-01_Reisepass_Beantragung.pdf,markdown/BB-01_Reisepass_Beantragung.md,Reisepass; Ausweisdokument; Termin; Unterlagen
BB-02,Personalausweis beantragen,buergerbuero,Bürgerbüro,pdf/BB-02_Personalausweis_Beantragung.pdf,markdown/BB-02_Personalausweis_Beantragung.md,Personalausweis; Ausweis; Verlust; Online-Ausweisfunktion
BB-03,Wohnsitz anmelden oder ummelden,buergerbuero,Bürgerbüro,pdf/BB-03_Wohnsitz_Anmeldung_Ummeldung.pdf,markdown/BB-03_Wohnsitz_Anmeldung_Ummeldung.md,Anmeldung; Ummeldung; Meldewesen; Wohnungsgeberbestätigung
ST-01,Geburtsurkunde beantragen,standesamt,Standesamt,pdf/ST-01_Geburtsurkunde_Beantragen.pdf,markdown/ST-01_Geburtsurkunde_Beantragen.md,Geburtsurkunde; Personenstand; Urkunde
ST-02,Eheschließung anmelden,standesamt,Standesamt,pdf/ST-02_Eheschliessung_Anmelden.pdf,markdown/ST-02_Eheschliessung_Anmelden.md,Eheschließung; Heirat; Ehe; Trauung
ST-03,Sterbeurkunde beantragen,standesamt,Standesamt,pdf/ST-03_Sterbeurkunde_Beantragen.pdf,markdown/ST-03_Sterbeurkunde_Beantragen.md,Sterbeurkunde; Sterbefall; Personenstand
OA-01,Falschparker und Verkehrsverstöße melden,ordnungsamt,Ordnungsamt,pdf/OA-01_Falschparker_Verkehrsverstoesse_Melden.pdf,markdown/OA-01_Falschparker_Verkehrsverstoesse_Melden.md,Falschparker; Parken; ruhender Verkehr
OA-02,Ruhestörung und Lärmbeschwerde melden,ordnungsamt,Ordnungsamt,pdf/OA-02_Ruhestoerung_Laermbeschwerde.pdf,markdown/OA-02_Ruhestoerung_Laermbeschwerde.md,Ruhestörung; Lärm; Beschwerde
OA-03,Hund anmelden und Leinenpflicht beachten,ordnungsamt,Ordnungsamt,pdf/OA-03_Hund_Anmelden_Leinenpflicht.pdf,markdown/OA-03_Hund_Anmelden_Leinenpflicht.md,Hund; Hundeanmeldung; Leinenpflicht; Hundehaltung
GA-01,Gewerbe anmelden,gewerbeamt,Gewerbeamt,pdf/GA-01_Gewerbeanmeldung.pdf,markdown/GA-01_Gewerbeanmeldung.md,Gewerbeanmeldung; Gewerbe; Selbstständigkeit
GA-02,Gaststättenerlaubnis und Imbissbetrieb,gewerbeamt,Gewerbeamt,pdf/GA-02_Gaststaettenerlaubnis.pdf,markdown/GA-02_Gaststaettenerlaubnis.md,Gaststätte; Imbiss; Alkoholausschank; Erlaubnis
GA-03,Marktstand und Reisegewerbe beantragen,gewerbeamt,Gewerbeamt,pdf/GA-03_Marktstand_Reisegewerbe.pdf,markdown/GA-03_Marktstand_Reisegewerbe.md,Marktstand; Reisegewerbe; mobiler Verkauf
BA-01,Bauantrag und Baugenehmigung,bauamt,Bauamt,pdf/BA-01_Bauantrag_Baugenehmigung.pdf,markdown/BA-01_Bauantrag_Baugenehmigung.md,Bauantrag; Baugenehmigung; Bauvorhaben
BA-02,Bauvoranfrage stellen,bauamt,Bauamt,pdf/BA-02_Bauvoranfrage.pdf,markdown/BA-02_Bauvoranfrage.md,Bauvoranfrage; Vorbescheid; Bauplanung
BA-03,Straßenaufbruch und Baustellen im öffentlichen Raum,bauamt,Bauamt,pdf/BA-03_Strassenaufbruch_Baustelle.pdf,markdown/BA-03_Strassenaufbruch_Baustelle.md,Straßenaufbruch; Baustelle; öffentlicher Raum
SP-01,Bebauungsplan einsehen und verstehen,stadtplanung,Stadtplanung,pdf/SP-01_Bebauungsplan_Einsehen.pdf,markdown/SP-01_Bebauungsplan_Einsehen.md,Bebauungsplan; Bauleitplanung; Planungsrecht
SP-02,Bürgerbeteiligung in der Bauleitplanung,stadtplanung,Stadtplanung,pdf/SP-02_Buergerbeteiligung_Bauleitplanung.pdf,markdown/SP-02_Buergerbeteiligung_Bauleitplanung.md,Bürgerbeteiligung; Bauleitplanung; Stellungnahme
SP-03,Flächennutzungsplan und Stadtentwicklung,stadtplanung,Stadtplanung,pdf/SP-03_Flaechennutzungsplan_Stadtentwicklung.pdf,markdown/SP-03_Flaechennutzungsplan_Stadtentwicklung.md,Flächennutzungsplan; Stadtentwicklung; Flächenplanung
SO-01,Wohngeld beantragen,soziales,Soziales,pdf/SO-01_Wohngeld_Beantragen.pdf,markdown/SO-01_Wohngeld_Beantragen.md,Wohngeld; Mietzuschuss; Lastenzuschuss
